"Generation","duty_label","mean"
"Baby Boomers","Voting",94.3759057609413
"Baby Boomers","Following the Constitution",97.4269115880374
"Baby Boomers","Being patriotic",68.6350904489542
"Baby Boomers","Working hard",44.2565492382182
"Baby Boomers","Making your voice heard",47.3317292956658
"Baby Boomers","Fighting for people’s rights",69.9315992459783
"Baby Boomers","Supporting your family",57.4787625411371
"Baby Boomers","Supporting democracy",88.1973541432159
"Baby Boomers","Protesting unfairness",48.4284280898385
"Baby Boomers","Donating to charity",30.8930501941384
"Baby Boomers","Defending freedom",91.9986317911391
"Baby Boomers","Obeying the law",96.6614937163444
"Baby Boomers","Practicing freedom of speech",77.2157856951252
"Baby Boomers","Helping your community",70.808156388866
"Baby Boomers","Joining the military",43.9534340249036
"Baby Boomers","Supporting equality",70.5414966685627
"Baby Boomers","Loving America",62.4817179717136
"Baby Boomers","Making the most of your opportunities",35.7525800499418
"Baby Boomers","Connecting across differences",43.5520062137235
"Baby Boomers","Being grateful for your opportunities",58.8899211554134
"Baby Boomers","Honoring the flag",84.2855827337628
"Baby Boomers","Welcoming refugees",41.3606123292788
"Baby Boomers","Paying your taxes",94.014199107043
"Baby Boomers","Being self-reliant",46.2737212207366
"Baby Boomers","Reporting for jury duty",95.0553215893173
"Baby Boomers","Staying informed of current events",50.2932275788798
"Baby Boomers","Doing community service",54.1029449626262
"Baby Boomers","Respecting people's differences",67.2301950709901
"Baby Boomers","Protecting the environment",69.6929897392953
"Baby Boomers","Caring for future generations",67.1053825804101
"Gen X","Voting",89.8236920930941
"Gen X","Following the Constitution",91.6626957392365
"Gen X","Being patriotic",62.0464339453491
"Gen X","Working hard",50.447035904903
"Gen X","Making your voice heard",51.8709304139226
"Gen X","Fighting for people’s rights",72.2283851503349
"Gen X","Supporting your family",62.3093990840302
"Gen X","Supporting democracy",79.8232129680675
"Gen X","Protesting unfairness",53.723015506942
"Gen X","Donating to charity",33.0286348930888
"Gen X","Defending freedom",86.5580307620519
"Gen X","Obeying the law",94.4615658722277
"Gen X","Practicing freedom of speech",77.2215502610384
"Gen X","Helping your community",70.8212005124523
"Gen X","Joining the military",42.2680141481618
"Gen X","Supporting equality",68.4322489114219
"Gen X","Loving America",58.9089899998347
"Gen X","Making the most of your opportunities",43.4935113316471
"Gen X","Connecting across differences",46.1830864758592
"Gen X","Being grateful for your opportunities",59.6131760668479
"Gen X","Honoring the flag",78.7363898185155
"Gen X","Welcoming refugees",41.5123395358793
"Gen X","Paying your taxes",90.9818037950316
"Gen X","Being self-reliant",51.7999642267335
"Gen X","Reporting for jury duty",90.0966658785754
"Gen X","Staying informed of current events",47.3481983977978
"Gen X","Doing community service",54.3559409288266
"Gen X","Respecting people's differences",67.0510864422515
"Gen X","Protecting the environment",69.0810687145726
"Gen X","Caring for future generations",66.1427813154547
"Gen Z","Voting",80.1149287413989
"Gen Z","Following the Constitution",88.769448397769
"Gen Z","Being patriotic",48.6052157664283
"Gen Z","Working hard",67.303698055984
"Gen Z","Making your voice heard",68.9868671320052
"Gen Z","Fighting for people’s rights",79.9639771853826
"Gen Z","Supporting your family",72.7490609424515
"Gen Z","Supporting democracy",65.1236222880873
"Gen Z","Protesting unfairness",64.498218203997
"Gen Z","Donating to charity",42.0767715991213
"Gen Z","Defending freedom",83.166873262832
"Gen Z","Obeying the law",89.1468676330761
"Gen Z","Practicing freedom of speech",82.2365539791328
"Gen Z","Helping your community",74.8983653203127
"Gen Z","Joining the military",34.0212639269402
"Gen Z","Supporting equality",80.3257496778945
"Gen Z","Loving America",53.3747562821512
"Gen Z","Making the most of your opportunities",58.891112510334
"Gen Z","Connecting across differences",66.1210631832006
"Gen Z","Being grateful for your opportunities",63.9884958477102
"Gen Z","Honoring the flag",71.9614468548017
"Gen Z","Welcoming refugees",53.6168609350847
"Gen Z","Paying your taxes",86.1867386854545
"Gen Z","Being self-reliant",53.8727309955548
"Gen Z","Reporting for jury duty",78.2739372335644
"Gen Z","Staying informed of current events",59.5046669071215
"Gen Z","Doing community service",61.0585469193649
"Gen Z","Respecting people's differences",77.8196505847784
"Gen Z","Protecting the environment",81.8721131902969
"Gen Z","Caring for future generations",78.3685877738132
"Millennials","Voting",81.3649862593241
"Millennials","Following the Constitution",85.9812519849887
"Millennials","Being patriotic",56.7132920537953
"Millennials","Working hard",60.9060327645694
"Millennials","Making your voice heard",58.8555760707317
"Millennials","Fighting for people’s rights",77.5732186345896
"Millennials","Supporting your family",68.621587159458
"Millennials","Supporting democracy",70.6555243838882
"Millennials","Protesting unfairness",57.2540097249142
"Millennials","Donating to charity",39.5980782375127
"Millennials","Defending freedom",85.334969101678
"Millennials","Obeying the law",90.2036483088426
"Millennials","Practicing freedom of speech",76.1812125393891
"Millennials","Helping your community",75.696800042885
"Millennials","Joining the military",38.0186422406003
"Millennials","Supporting equality",74.9012440532578
"Millennials","Loving America",54.7110049160398
"Millennials","Making the most of your opportunities",52.6177331898868
"Millennials","Connecting across differences",58.4037128315492
"Millennials","Being grateful for your opportunities",64.0389797823398
"Millennials","Honoring the flag",73.0369112518572
"Millennials","Welcoming refugees",48.473400038617
"Millennials","Paying your taxes",84.2117887330629
"Millennials","Being self-reliant",56.4302352525237
"Millennials","Reporting for jury duty",77.554984102333
"Millennials","Staying informed of current events",54.6821727566619
"Millennials","Doing community service",57.3347217359395
"Millennials","Respecting people's differences",74.0177494749827
"Millennials","Protecting the environment",74.5661901901704
"Millennials","Caring for future generations",73.7608443638207
