church,duty_label,mean
A few times a year,Voting,88.03508446
A few times a year,Following the Constitution,93.41311249
A few times a year,Being patriotic,60.61346676
A few times a year,Working hard,59.66712397
A few times a year,Making your voice heard,59.18415131
A few times a year,Fighting for people’s rights,76.36380636
A few times a year,Supporting your family,67.18553554
A few times a year,Supporting democracy,74.82127874
A few times a year,Protesting unfairness,56.7201029
A few times a year,Donating to charity,38.36530914
A few times a year,Defending freedom,89.9076843
A few times a year,Obeying the law,93.51790443
A few times a year,Practicing freedom of speech,80.70098475
A few times a year,Helping your community,77.71037544
A few times a year,Joining the military,45.69757713
A few times a year,Supporting equality,80.08418778
A few times a year,Loving America,60.4713102
A few times a year,Making the most of your opportunities,50.14627491
A few times a year,Connecting across differences,59.08856058
A few times a year,Being grateful for your opportunities,65.77686273
A few times a year,Honoring the flag,80.10383749
A few times a year,Welcoming refugees,44.93567723
A few times a year,Paying your taxes,87.81649886
A few times a year,Being self-reliant,55.2581973
A few times a year,Reporting for jury duty,87.30055594
A few times a year,Staying informed of current events,56.55938585
A few times a year,Doing community service,64.20661536
A few times a year,Respecting people's differences,75.97350966
A few times a year,Protecting the environment,76.74262493
A few times a year,Caring for future generations,75.35358677
Don't know,Voting,72.42774249
Don't know,Following the Constitution,79.09914305
Don't know,Being patriotic,57.2366528
Don't know,Working hard,81.90932437
Don't know,Making your voice heard,71.95712487
Don't know,Fighting for people’s rights,80.52914263
Don't know,Supporting your family,86.72805493
Don't know,Supporting democracy,69.39087382
Don't know,Protesting unfairness,65.1616416
Don't know,Donating to charity,52.99764465
Don't know,Defending freedom,88.83442845
Don't know,Obeying the law,87.20637687
Don't know,Practicing freedom of speech,76.53872471
Don't know,Helping your community,80.44397428
Don't know,Joining the military,43.49352081
Don't know,Supporting equality,76.54705432
Don't know,Loving America,64.42184991
Don't know,Making the most of your opportunities,71.05711378
Don't know,Connecting across differences,58.58532367
Don't know,Being grateful for your opportunities,71.81071325
Don't know,Honoring the flag,75.26839331
Don't know,Welcoming refugees,51.28619722
Don't know,Paying your taxes,82.23153089
Don't know,Being self-reliant,67.92621273
Don't know,Reporting for jury duty,58.25131362
Don't know,Staying informed of current events,47.14480913
Don't know,Doing community service,66.8159094
Don't know,Respecting people's differences,77.7351123
Don't know,Protecting the environment,80.96608205
Don't know,Caring for future generations,80.02593054
More than once a week,Voting,89.26929961
More than once a week,Following the Constitution,90.00723727
More than once a week,Being patriotic,71.42151432
More than once a week,Working hard,69.73079635
More than once a week,Making your voice heard,65.91507808
More than once a week,Fighting for people’s rights,79.41963888
More than once a week,Supporting your family,78.07640618
More than once a week,Supporting democracy,79.39178677
More than once a week,Protesting unfairness,60.97183877
More than once a week,Donating to charity,53.780956
More than once a week,Defending freedom,93.45147416
More than once a week,Obeying the law,94.27338557
More than once a week,Practicing freedom of speech,87.99463157
More than once a week,Helping your community,84.59548034
More than once a week,Joining the military,55.45316489
More than once a week,Supporting equality,74.58017001
More than once a week,Loving America,72.45693637
More than once a week,Making the most of your opportunities,63.46112136
More than once a week,Connecting across differences,65.68768152
More than once a week,Being grateful for your opportunities,73.62927196
More than once a week,Honoring the flag,84.52564606
More than once a week,Welcoming refugees,58.72507056
More than once a week,Paying your taxes,93.32251682
More than once a week,Being self-reliant,67.98450115
More than once a week,Reporting for jury duty,89.14619296
More than once a week,Staying informed of current events,64.48014165
More than once a week,Doing community service,70.87069103
More than once a week,Respecting people's differences,71.35451605
More than once a week,Protecting the environment,75.9871021
