"ideology","duty_label","mean"
"Conservative","Voting",91.0449714718564
"Conservative","Following the Constitution",94.4055469977442
"Conservative","Being patriotic",73.3361216660339
"Conservative","Working hard",56.1023801163347
"Conservative","Making your voice heard",44.4788361117897
"Conservative","Fighting for people’s rights",64.5900316106208
"Conservative","Supporting your family",63.6826749663313
"Conservative","Supporting democracy",78.7171352304288
"Conservative","Protesting unfairness",38.427460166752
"Conservative","Donating to charity",31.1175613313655
"Conservative","Defending freedom",90.1166936589191
"Conservative","Obeying the law",96.0864011662166
"Conservative","Practicing freedom of speech",73.124857802113
"Conservative","Helping your community",70.9996224111202
"Conservative","Joining the military",44.1146045388238
"Conservative","Supporting equality",62.1796375312397
"Conservative","Loving America",70.7088931044888
"Conservative","Making the most of your opportunities",46.0258108387876
"Conservative","Connecting across differences",43.0090941317504
"Conservative","Being grateful for your opportunities",71.336595490182
"Conservative","Honoring the flag",90.040402419429
"Conservative","Welcoming refugees",30.2501912386515
"Conservative","Paying your taxes",92.0268044758709
"Conservative","Being self-reliant",53.607194448233
"Conservative","Reporting for jury duty",91.1348565997645
"Conservative","Staying informed of current events",49.7195049875223
"Conservative","Doing community service",52.7100671694978
"Conservative","Respecting people's differences",63.6338419378504
"Conservative","Protecting the environment",61.7277530838508
"Conservative","Caring for future generations",66.2213350527697
"Liberal","Voting",90.6896339484138
"Liberal","Following the Constitution",90.2054019282927
"Liberal","Being patriotic",42.9685514851784
"Liberal","Working hard",44.9362554906517
"Liberal","Making your voice heard",59.8855748746217
"Liberal","Fighting for people’s rights",82.1286714522271
"Liberal","Supporting your family",55.5201959737476
"Liberal","Supporting democracy",82.1602884870404
"Liberal","Protesting unfairness",71.3209872241459
"Liberal","Donating to charity",34.085028888556
"Liberal","Defending freedom",86.1240271504532
"Liberal","Obeying the law",93.6694191518157
"Liberal","Practicing freedom of speech",76.2159585775279
"Liberal","Helping your community",76.6858643619194
"Liberal","Joining the military",33.623046962413
"Liberal","Supporting equality",81.2905466016933
"Liberal","Loving America",35.287599416484
"Liberal","Making the most of your opportunities",36.9064313074902
"Liberal","Connecting across differences",57.6744118992017
"Liberal","Being grateful for your opportunities",46.616152375635
"Liberal","Honoring the flag",58.6911608737717
"Liberal","Welcoming refugees",64.6963858494183
"Liberal","Paying your taxes",86.8241281686674
"Liberal","Being self-reliant",40.2883205376862
"Liberal","Reporting for jury duty",85.8409234319983
"Liberal","Staying informed of current events",55.9521865131254
"Liberal","Doing community service",60.2142058450126
"Liberal","Respecting people's differences",73.7538117547287
"Liberal","Protecting the environment",79.7020861436546
"Liberal","Caring for future generations",73.9419408480449
"Moderate","Voting",85.0063055495543
"Moderate","Following the Constitution",90.1735102394153
"Moderate","Being patriotic",60.8224052311346
"Moderate","Working hard",54.3098249517843
"Moderate","Making your voice heard",56.4934620990378
"Moderate","Fighting for people’s rights",75.4392036265854
"Moderate","Supporting your family",66.5891506087154
"Moderate","Supporting democracy",75.7742946704819
"Moderate","Protesting unfairness",58.2644172136863
"Moderate","Donating to charity",39.229283347918
"Moderate","Defending freedom",88.0873145576267
"Moderate","Obeying the law",92.2146769095702
"Moderate","Practicing freedom of speech",78.5730612051375
"Moderate","Helping your community",73.04138889822
"Moderate","Joining the military",42.2897490703799
"Moderate","Supporting equality",77.9338916999899
"Moderate","Loving America",60.0926293600099
"Moderate","Making the most of your opportunities",47.5796727691892
"Moderate","Connecting across differences",57.2036242856067
"Moderate","Being grateful for your opportunities",62.7821456612422
"Moderate","Honoring the flag",79.754660738427
"Moderate","Welcoming refugees",47.4971402187521
"Moderate","Paying your taxes",89.1573127120845
"Moderate","Being self-reliant",51.1888293962609
"Moderate","Reporting for jury duty",84.6760388344674
"Moderate","Staying informed of current events",49.4425868258473
"Moderate","Doing community service",59.1401531319434
"Moderate","Respecting people's differences",73.5816448421463
"Moderate","Protecting the environment",77.1497198773978
"Moderate","Caring for future generations",71.3545580642131
"Not sure","Voting",71.977716937339
"Not sure","Following the Constitution",86.7257535233561
"Not sure","Being patriotic",54.0408031629181
"Not sure","Working hard",60.363488927786
"Not sure","Making your voice heard",68.5491660338344
"Not sure","Fighting for people’s rights",80.9408930087876
"Not sure","Supporting your family",68.1759613545891
"Not sure","Supporting democracy",60.7817809511781
