"income","duty_label","mean"
"$10,000 - $19,999","Voting",79.9904595258152
"$10,000 - $19,999","Following the Constitution",85.878529115971
"$10,000 - $19,999","Being patriotic",54.2947070849202
"$10,000 - $19,999","Working hard",60.9757193510327
"$10,000 - $19,999","Making your voice heard",59.827868648877
"$10,000 - $19,999","Fighting for people’s rights",79.2280977324906
"$10,000 - $19,999","Supporting your family",73.5276536461887
"$10,000 - $19,999","Supporting democracy",64.0082954971339
"$10,000 - $19,999","Protesting unfairness",50.4542027179617
"$10,000 - $19,999","Donating to charity",36.9713060741771
"$10,000 - $19,999","Defending freedom",87.8198392893734
"$10,000 - $19,999","Obeying the law",88.7476314029955
"$10,000 - $19,999","Practicing freedom of speech",75.1500618847372
"$10,000 - $19,999","Helping your community",68.7934414082116
"$10,000 - $19,999","Joining the military",40.6477115568
"$10,000 - $19,999","Supporting equality",65.0867713198225
"$10,000 - $19,999","Loving America",56.773196109333
"$10,000 - $19,999","Making the most of your opportunities",49.5186310952194
"$10,000 - $19,999","Connecting across differences",51.9434164701788
"$10,000 - $19,999","Being grateful for your opportunities",61.145995783862
"$10,000 - $19,999","Honoring the flag",80.8754456327482
"$10,000 - $19,999","Welcoming refugees",42.8574842038337
"$10,000 - $19,999","Paying your taxes",85.3686494480968
"$10,000 - $19,999","Being self-reliant",54.1420202700247
"$10,000 - $19,999","Reporting for jury duty",81.4227577300633
"$10,000 - $19,999","Staying informed of current events",44.3099013611028
"$10,000 - $19,999","Doing community service",53.9044835591544
"$10,000 - $19,999","Respecting people's differences",67.716550144816
"$10,000 - $19,999","Protecting the environment",78.1025846191499
"$10,000 - $19,999","Caring for future generations",70.7372933697216
"$100,000 - $119,999","Voting",93.1357740704923
"$100,000 - $119,999","Following the Constitution",95.3675958401675
"$100,000 - $119,999","Being patriotic",65.2486090655096
"$100,000 - $119,999","Working hard",53.4870683496096
"$100,000 - $119,999","Making your voice heard",58.9540271557584
"$100,000 - $119,999","Fighting for people’s rights",75.1637653967887
"$100,000 - $119,999","Supporting your family",62.1181212449561
"$100,000 - $119,999","Supporting democracy",83.5663391206482
"$100,000 - $119,999","Protesting unfairness",54.9841739270554
"$100,000 - $119,999","Donating to charity",35.9890325153528
"$100,000 - $119,999","Defending freedom",89.2785870930207
"$100,000 - $119,999","Obeying the law",94.8731446058064
"$100,000 - $119,999","Practicing freedom of speech",79.0739137019819
"$100,000 - $119,999","Helping your community",77.3244966497144
"$100,000 - $119,999","Joining the military",43.3682342171049
"$100,000 - $119,999","Supporting equality",73.6754171601673
"$100,000 - $119,999","Loving America",63.0580482740553
"$100,000 - $119,999","Making the most of your opportunities",50.2849846939221
"$100,000 - $119,999","Connecting across differences",50.9422256245628
"$100,000 - $119,999","Being grateful for your opportunities",61.7474120110297
"$100,000 - $119,999","Honoring the flag",77.6359865584639
"$100,000 - $119,999","Welcoming refugees",40.1575257424414
"$100,000 - $119,999","Paying your taxes",88.9461663185556
"$100,000 - $119,999","Being self-reliant",52.0479393581196
"$100,000 - $119,999","Reporting for jury duty",87.884395428378
"$100,000 - $119,999","Staying informed of current events",53.8002123648415
"$100,000 - $119,999","Doing community service",59.2992650666722
"$100,000 - $119,999","Respecting people's differences",70.1644712227211
"$100,000 - $119,999","Protecting the environment",74.2554516378191
"$100,000 - $119,999","Caring for future generations",73.4935369113658
"$120,000 - $149,999","Voting",90.4324167308382
"$120,000 - $149,999","Following the Constitution",94.7871953047501
"$120,000 - $149,999","Being patriotic",65.6880284393456
"$120,000 - $149,999","Working hard",57.5202201906502
"$120,000 - $149,999","Making your voice heard",54.040440309779
"$120,000 - $149,999","Fighting for people’s rights",72.1532450128111
"$120,000 - $149,999","Supporting your family",63.0164931595518
"$120,000 - $149,999","Supporting democracy",82.667076328725
"$120,000 - $149,999","Protesting unfairness",54.2663309136042
"$120,000 - $149,999","Donating to charity",34.466424692202
"$120,000 - $149,999","Defending freedom",86.126841177189
"$120,000 - $149,999","Obeying the law",93.5741881267083
"$120,000 - $149,999","Practicing freedom of speech",77.7586127904226
"$120,000 - $149,999","Helping your community",73.1606255662785
"$120,000 - $149,999","Joining the military",43.6596814579673
"$120,000 - $149,999","Supporting equality",75.1836129375339
"$120,000 - $149,999","Loving America",59.5801697606833
