"religion","duty_label","mean"
"Agnostic","Voting",88.2096281370792
"Agnostic","Following the Constitution",93.070276369699
"Agnostic","Being patriotic",40.4123517698077
"Agnostic","Working hard",48.1025025137428
"Agnostic","Making your voice heard",53.7470874504822
"Agnostic","Fighting for people’s rights",74.0731851559718
"Agnostic","Supporting your family",59.4898843552073
"Agnostic","Supporting democracy",83.3302163245733
"Agnostic","Protesting unfairness",63.022513262275
"Agnostic","Donating to charity",29.4967994707066
"Agnostic","Defending freedom",87.961874007599
"Agnostic","Obeying the law",92.239887682997
"Agnostic","Practicing freedom of speech",76.8198697981554
"Agnostic","Helping your community",78.480624914546
"Agnostic","Joining the military",25.1655937085338
"Agnostic","Supporting equality",78.2048673746464
"Agnostic","Loving America",34.6559539818445
"Agnostic","Making the most of your opportunities",37.3914509716172
"Agnostic","Connecting across differences",48.1068147438593
"Agnostic","Being grateful for your opportunities",47.0704427183295
"Agnostic","Honoring the flag",59.8609758215942
"Agnostic","Welcoming refugees",64.4752407201584
"Agnostic","Paying your taxes",91.543386187085
"Agnostic","Being self-reliant",46.1254752764425
"Agnostic","Reporting for jury duty",87.5456398215934
"Agnostic","Staying informed of current events",57.2325140045681
"Agnostic","Doing community service",57.0073102914385
"Agnostic","Respecting people's differences",78.0662926298465
"Agnostic","Protecting the environment",80.3046614656671
"Agnostic","Caring for future generations",73.7904093347239
"Atheist","Voting",89.1614047205593
"Atheist","Following the Constitution",92.4240495290941
"Atheist","Being patriotic",36.9997938851619
"Atheist","Working hard",41.3060809403394
"Atheist","Making your voice heard",58.0348038821608
"Atheist","Fighting for people’s rights",77.317494700703
"Atheist","Supporting your family",57.2548330149806
"Atheist","Supporting democracy",84.0695579220302
"Atheist","Protesting unfairness",64.3744406926683
"Atheist","Donating to charity",29.4000226265803
"Atheist","Defending freedom",78.6552364402198
"Atheist","Obeying the law",91.5296078989597
"Atheist","Practicing freedom of speech",78.2040605719916
"Atheist","Helping your community",69.3637884265447
"Atheist","Joining the military",25.6906861681575
"Atheist","Supporting equality",71.1142865923503
"Atheist","Loving America",30.3793793537066
"Atheist","Making the most of your opportunities",45.119345852805
"Atheist","Connecting across differences",57.4619626620675
"Atheist","Being grateful for your opportunities",45.3358871784124
"Atheist","Honoring the flag",51.3587961319953
"Atheist","Welcoming refugees",60.4365178996794
"Atheist","Paying your taxes",88.408726951539
"Atheist","Being self-reliant",44.6649567009263
"Atheist","Reporting for jury duty",86.4963998437651
"Atheist","Staying informed of current events",56.8870220953765
"Atheist","Doing community service",48.5866437220423
"Atheist","Respecting people's differences",73.6395221643623
"Atheist","Protecting the environment",79.5669314305501
"Atheist","Caring for future generations",72.8678707710336
"Buddhist","Voting",84.0662745251453
"Buddhist","Following the Constitution",88.086446314776
"Buddhist","Being patriotic",56.0469796107308
"Buddhist","Working hard",65.4299873478955
"Buddhist","Making your voice heard",68.0267305007024
"Buddhist","Fighting for people’s rights",76.9018165342028
"Buddhist","Supporting your family",69.2006372530554
"Buddhist","Supporting democracy",68.7565462138874
"Buddhist","Protesting unfairness",74.9261939262382
"Buddhist","Donating to charity",51.4822847639136
"Buddhist","Defending freedom",90.4106146466731
"Buddhist","Obeying the law",85.540723579996
"Buddhist","Practicing freedom of speech",88.2179617230114
"Buddhist","Helping your community",78.8229884013721
"Buddhist","Joining the military",38.1898268276572
"Buddhist","Supporting equality",82.586362079462
"Buddhist","Loving America",54.4846847010384
"Buddhist","Making the most of your opportunities",55.8425182497231
"Buddhist","Connecting across differences",69.5099726193173
"Buddhist","Being grateful for your opportunities",69.680368911811
"Buddhist","Honoring the flag",70.8000610316977
"Buddhist","Welcoming refugees",56.4763279548764
"Buddhist","Paying your taxes",78.1918634118432
"Buddhist","Being self-reliant",61.0787327970587
"Buddhist","Reporting for jury duty",79.1428001194711
"Buddhist","Staying informed of current events",65.4459840174416
"Buddhist","Doing community service",60.7109987361403
"Buddhist","Respecting people's differences",84.6310164993897
"Buddhist","Protecting the environment",84.6978333501312
"Buddhist","Caring for future generations",78.0659336057425
"Eastern or Greek Orthodox","Voting",81.1540121909195
"Eastern or Greek Orthodox","Following the Constitution",86.9950203763509
"Eastern or Greek Orthodox","Being patriotic",72.718233534379
"Eastern or Greek Orthodox","Working hard",74.3658131163839
"Eastern or Greek Orthodox","Making your voice heard",61.5192932653578
"Eastern or Greek Orthodox","Fighting for people’s rights",69.4603914792304
"Eastern or Greek Orthodox","Supporting your family",50.4988037339471
"Eastern or Greek Orthodox","Supporting democracy",81.1540121909195
"Eastern or Greek Orthodox","Protesting unfairness",60.835457079741
"Eastern or Greek Orthodox","Donating to charity",39.0940734909262
"Eastern or Greek Orthodox","Defending freedom",82.5366842989284
"Eastern or Greek Orthodox","Obeying the law",94.3010049338246
"Eastern or Greek Orthodox","Practicing freedom of speech",75.196743201909
"Eastern or Greek Orthodox","Helping your community",75.5369355107453
"Eastern or Greek Orthodox","Joining the military",57.7879925594881
"Eastern or Greek Orthodox","Supporting equality",82.9629943673829
"Eastern or Greek Orthodox","Loving America",59.5729024794655
"Eastern or Greek Orthodox","Making the most of your opportunities",44.5215662855387
"Eastern or Greek Orthodox","Connecting across differences",35.9402620090476
"Eastern or Greek Orthodox","Being grateful for your opportunities",45.9130630689701
